"Epoch","devoted-sound-306 - _step","devoted-sound-306 - _step__MIN","devoted-sound-306 - _step__MAX","devoted-sound-306 - RI score","devoted-sound-306 - RI score__MIN","devoted-sound-306 - RI score__MAX","copper-waterfall-309 - _step","copper-waterfall-309 - _step__MIN","copper-waterfall-309 - _step__MAX","copper-waterfall-309 - RI score","copper-waterfall-309 - RI score__MIN","copper-waterfall-309 - RI score__MAX","amber-rain-344 - _step","amber-rain-344 - _step__MIN","amber-rain-344 - _step__MAX","amber-rain-344 - RI score","amber-rain-344 - RI score__MIN","amber-rain-344 - RI score__MAX","worthy-yogurt-341 - _step","worthy-yogurt-341 - _step__MIN","worthy-yogurt-341 - _step__MAX","worthy-yogurt-341 - RI score","worthy-yogurt-341 - RI score__MIN","worthy-yogurt-341 - RI score__MAX","driven-waterfall-297 - _step","driven-waterfall-297 - _step__MIN","driven-waterfall-297 - _step__MAX","driven-waterfall-297 - RI score","driven-waterfall-297 - RI score__MIN","driven-waterfall-297 - RI score__MAX","fancy-waterfall-343 - _step","fancy-waterfall-343 - _step__MIN","fancy-waterfall-343 - _step__MAX","fancy-waterfall-343 - RI score","fancy-waterfall-343 - RI score__MIN","fancy-waterfall-343 - RI score__MAX"
"32","959","959","959","0.9662872059476113","0.9662872059476113","0.9662872059476113","","","","","","","959","959","959","0.9613512073615295","0.9613512073615295","0.9613512073615295","","","","","","","","","","","","","959","959","959","0.9511012894091905","0.9511012894091905","0.9511012894091905"
"33","989","989","989","0.9689661344835688","0.9689661344835688","0.9689661344835688","","","","","","","989","989","989","0.9633529866266904","0.9633529866266904","0.9633529866266904","","","","","","","","","","","","","989","989","989","0.9544247318139929","0.9544247318139929","0.9544247318139929"
"34","1019","1019","1019","0.9679520352835317","0.9679520352835317","0.9679520352835317","","","","","","","1019","1019","1019","0.9602759344426827","0.9602759344426827","0.9602759344426827","","","","","","","","","","","","","1019","1019","1019","0.9502793293721584","0.9502793293721584","0.9502793293721584"
"35","1049","1049","1049","0.9710056351873491","0.9710056351873491","0.9710056351873491","","","","","","","1049","1049","1049","0.9619544678218469","0.9619544678218469","0.9619544678218469","","","","","","","","","","","","","1049","1049","1049","0.9548970268301149","0.9548970268301149","0.9548970268301149"
"36","1079","1079","1079","0.9655371568179099","0.9655371568179099","0.9655371568179099","","","","","","","1079","1079","1079","0.9554331798621769","0.9554331798621769","0.9554331798621769","","","","","","","","","","","","","1079","1079","1079","0.950693982639379","0.950693982639379","0.950693982639379"
"37","1109","1109","1109","0.966798211353927","0.966798211353927","0.966798211353927","","","","","","","1109","1109","1109","0.9612346523545595","0.9612346523545595","0.9612346523545595","","","","","","","","","","","","","1109","1109","1109","0.9484712433367621","0.9484712433367621","0.9484712433367621"
"38","1139","1139","1139","0.9655175190652203","0.9655175190652203","0.9655175190652203","","","","","","","1139","1139","1139","0.962463071488625","0.962463071488625","0.962463071488625","","","","","","","","","","","","","1139","1139","1139","0.9540859452604001","0.9540859452604001","0.9540859452604001"
"39","1169","1169","1169","0.9696925900542835","0.9696925900542835","0.9696925900542835","","","","","","","1169","1169","1169","0.961021180093309","0.961021180093309","0.961021180093309","","","","","","","","","","","","","1169","1169","1169","0.9498953336037409","0.9498953336037409","0.9498953336037409"
"40","1199","1199","1199","0.9660981749181254","0.9660981749181254","0.9660981749181254","","","","","","","1199","1199","1199","0.9625376666930858","0.9625376666930858","0.9625376666930858","","","","","","","","","","","","","1199","1199","1199","0.9537126866805035","0.9537126866805035","0.9537126866805035"
"41","1229","1229","1229","0.9501667301714856","0.9501667301714856","0.9501667301714856","","","","","","","1229","1229","1229","0.9624832743564998","0.9624832743564998","0.9624832743564998","","","","","","","","","","","","","1229","1229","1229","0.9529095167233831","0.9529095167233831","0.9529095167233831"
