"Epoch","silvery-fog-321 - _step","silvery-fog-321 - _step__MIN","silvery-fog-321 - _step__MAX","silvery-fog-321 - NMI score","silvery-fog-321 - NMI score__MIN","silvery-fog-321 - NMI score__MAX","honest-feather-317 - _step","honest-feather-317 - _step__MIN","honest-feather-317 - _step__MAX","honest-feather-317 - NMI score","honest-feather-317 - NMI score__MIN","honest-feather-317 - NMI score__MAX","rare-tree-337 - _step","rare-tree-337 - _step__MIN","rare-tree-337 - _step__MAX","rare-tree-337 - NMI score","rare-tree-337 - NMI score__MIN","rare-tree-337 - NMI score__MAX","pleasant-grass-346 - _step","pleasant-grass-346 - _step__MIN","pleasant-grass-346 - _step__MAX","pleasant-grass-346 - NMI score","pleasant-grass-346 - NMI score__MIN","pleasant-grass-346 - NMI score__MAX","brisk-valley-351 - _step","brisk-valley-351 - _step__MIN","brisk-valley-351 - _step__MAX","brisk-valley-351 - NMI score","brisk-valley-351 - NMI score__MIN","brisk-valley-351 - NMI score__MAX","brisk-moon-313 - _step","brisk-moon-313 - _step__MIN","brisk-moon-313 - _step__MAX","brisk-moon-313 - NMI score","brisk-moon-313 - NMI score__MIN","brisk-moon-313 - NMI score__MAX"
"1","34","34","34","0.2957695167764806","0.2957695167764806","0.2957695167764806","34","34","34","0.4222450205590088","0.4222450205590088","0.4222450205590088","34","34","34","0.43245860835681604","0.43245860835681604","0.43245860835681604","34","34","34","0.3109666881966971","0.3109666881966971","0.3109666881966971","34","34","34","0.3127578215071614","0.3127578215071614","0.3127578215071614","34","34","34","0.42208382070589967","0.42208382070589967","0.42208382070589967"
"2","69","69","69","0.28393895511442496","0.28393895511442496","0.28393895511442496","69","69","69","0.42241338636301257","0.42241338636301257","0.42241338636301257","69","69","69","0.4326312966299646","0.4326312966299646","0.4326312966299646","69","69","69","0.3141303805855414","0.3141303805855414","0.3141303805855414","69","69","69","0.31066628305302113","0.31066628305302113","0.31066628305302113","69","69","69","0.4223489632619522","0.4223489632619522","0.4223489632619522"
"3","104","104","104","0.28322443007497344","0.28322443007497344","0.28322443007497344","104","104","104","0.4224063637859809","0.4224063637859809","0.4224063637859809","104","104","104","0.4330289920347998","0.4330289920347998","0.4330289920347998","104","104","104","0.30689791529194993","0.30689791529194993","0.30689791529194993","104","104","104","0.3124238057019149","0.3124238057019149","0.3124238057019149","104","104","104","0.4221993656896088","0.4221993656896088","0.4221993656896088"
"4","139","139","139","0.29996260306700767","0.29996260306700767","0.29996260306700767","","","","","","","139","139","139","0.43089497960044504","0.43089497960044504","0.43089497960044504","139","139","139","0.28791042675246675","0.28791042675246675","0.28791042675246675","139","139","139","0.2714814032363474","0.2714814032363474","0.2714814032363474","139","139","139","0.42152743805372206","0.42152743805372206","0.42152743805372206"
"5","174","174","174","0.33496971072143883","0.33496971072143883","0.33496971072143883","","","","","","","174","174","174","0.430162394568466","0.430162394568466","0.430162394568466","174","174","174","0.2906157194934896","0.2906157194934896","0.2906157194934896","174","174","174","0.28572557769626716","0.28572557769626716","0.28572557769626716","174","174","174","0.42061891056365264","0.42061891056365264","0.42061891056365264"
"6","209","209","209","0.3214875034368041","0.3214875034368041","0.3214875034368041","","","","","","","209","209","209","0.4305379084618933","0.4305379084618933","0.4305379084618933","209","209","209","0.2793931088690365","0.2793931088690365","0.2793931088690365","209","209","209","0.2908588757454553","0.2908588757454553","0.2908588757454553","209","209","209","0.42074747526871875","0.42074747526871875","0.42074747526871875"
"7","244","244","244","0.3459708948740296","0.3459708948740296","0.3459708948740296","","","","","","","244","244","244","0.43191637357794493","0.43191637357794493","0.43191637357794493","244","244","244","0.285594992981763","0.285594992981763","0.285594992981763","244","244","244","0.30074175982573975","0.30074175982573975","0.30074175982573975","","","","","",""
"8","279","279","279","0.37202876694481335","0.37202876694481335","0.37202876694481335","","","","","","","279","279","279","0.4313915411297481","0.4313915411297481","0.4313915411297481","279","279","279","0.2806546800055623","0.2806546800055623","0.2806546800055623","279","279","279","0.2908839667596857","0.2908839667596857","0.2908839667596857","","","","","",""
"9","314","314","314","0.38183809948983793","0.38183809948983793","0.38183809948983793","","","","","","","314","314","314","0.42999827765012893","0.42999827765012893","0.42999827765012893","314","314","314","0.316033223520048","0.316033223520048","0.316033223520048","314","314","314","0.2503507177132738","0.2503507177132738","0.2503507177132738","","","","","",""
"10","349","349","349","0.3692639940102697","0.3692639940102697","0.3692639940102697","","","","","","","349","349","349","0.430026054060286","0.430026054060286","0.430026054060286","349","349","349","0.1896547513727925","0.1896547513727925","0.1896547513727925","349","349","349","0.289864169144336","0.289864169144336","0.289864169144336","","","","","",""
"11","384","384","384","0.3645077708232015","0.3645077708232015","0.3645077708232015","","","","","","","384","384","384","0.43008947448126883","0.43008947448126883","0.43008947448126883","384","384","384","0.2929014390268901","0.2929014390268901","0.2929014390268901","384","384","384","0.28196045797682234","0.28196045797682234","0.28196045797682234","","","","","",""
"12","419","419","419","0.35225848259485365","0.35225848259485365","0.35225848259485365","","","","","","","","","","","","","419","419","419","0.2984685288113765","0.2984685288113765","0.2984685288113765","419","419","419","0.2859855481722812","0.2859855481722812","0.2859855481722812","","","","","",""
"13","454","454","454","0.3669499916093943","0.3669499916093943","0.3669499916093943","","","","","","","","","","","","","454","454","454","0.3097615764890704","0.3097615764890704","0.3097615764890704","454","454","454","0.2986507228285606","0.2986507228285606","0.2986507228285606","","","","","",""
"14","489","489","489","0.3807481179637666","0.3807481179637666","0.3807481179637666","","","","","","","","","","","","","489","489","489","0.31579308520033267","0.31579308520033267","0.31579308520033267","489","489","489","0.31271908289619255","0.31271908289619255","0.31271908289619255","","","","","",""
"15","524","524","524","0.3836788206870357","0.3836788206870357","0.3836788206870357","","","","","","","","","","","","","524","524","524","0.3069315363988906","0.3069315363988906","0.3069315363988906","524","524","524","0.3135480712113842","0.3135480712113842","0.3135480712113842","","","","","",""
"16","559","559","559","0.38427545379013245","0.38427545379013245","0.38427545379013245","","","","","","","","","","","","","559","559","559","0.2924578097459731","0.2924578097459731","0.2924578097459731","559","559","559","0.3117957025845741","0.3117957025845741","0.3117957025845741","","","","","",""
"17","594","594","594","0.3793066348143052","0.3793066348143052","0.3793066348143052","","","","","","","","","","","","","594","594","594","0.3094420755864706","0.3094420755864706","0.3094420755864706","594","594","594","0.3137992813801292","0.3137992813801292","0.3137992813801292","","","","","",""
"18","629","629","629","0.3489896235478987","0.3489896235478987","0.3489896235478987","","","","","","","","","","","","","629","629","629","0.311633091842158","0.311633091842158","0.311633091842158","629","629","629","0.31852663811807985","0.31852663811807985","0.31852663811807985","","","","","",""
"19","664","664","664","0.38695809775524376","0.38695809775524376","0.38695809775524376","","","","","","","","","","","","","664","664","664","0.3006812129899695","0.3006812129899695","0.3006812129899695","664","664","664","0.3155013706850265","0.3155013706850265","0.3155013706850265","","","","","",""
"20","699","699","699","0.3931402378076667","0.3931402378076667","0.3931402378076667","","","","","","","","","","","","","699","699","699","0.30036004040691044","0.30036004040691044","0.30036004040691044","699","699","699","0.31310263674268834","0.31310263674268834","0.31310263674268834","","","","","",""
"21","734","734","734","0.36839445325268","0.36839445325268","0.36839445325268","","","","","","","","","","","","","734","734","734","0.29422515157469575","0.29422515157469575","0.29422515157469575","734","734","734","0.32319881758757507","0.32319881758757507","0.32319881758757507","","","","","",""
"22","769","769","769","0.3725901843925585","0.3725901843925585","0.3725901843925585","","","","","","","","","","","","","769","769","769","0.2928351594656622","0.2928351594656622","0.2928351594656622","769","769","769","0.32370171278504667","0.32370171278504667","0.32370171278504667","","","","","",""
"23","804","804","804","0.3734822185725692","0.3734822185725692","0.3734822185725692","","","","","","","","","","","","","804","804","804","0.2928290466823965","0.2928290466823965","0.2928290466823965","804","804","804","0.26262220858795354","0.26262220858795354","0.26262220858795354","","","","","",""
"24","839","839","839","0.3885353867352869","0.3885353867352869","0.3885353867352869","","","","","","","","","","","","","839","839","839","0.27990852975301744","0.27990852975301744","0.27990852975301744","839","839","839","0.22644978058597975","0.22644978058597975","0.22644978058597975","","","","","",""
"25","874","874","874","0.37677823506767205","0.37677823506767205","0.37677823506767205","","","","","","","","","","","","","874","874","874","0.2723159922536157","0.2723159922536157","0.2723159922536157","874","874","874","0.2422574584193475","0.2422574584193475","0.2422574584193475","","","","","",""
"26","909","909","909","0.38220972593165103","0.38220972593165103","0.38220972593165103","","","","","","","","","","","","","909","909","909","0.2689288541512619","0.2689288541512619","0.2689288541512619","909","909","909","0.2607013776842876","0.2607013776842876","0.2607013776842876","","","","","",""
"27","944","944","944","0.38312610157399357","0.38312610157399357","0.38312610157399357","","","","","","","","","","","","","944","944","944","0.2543391624438457","0.2543391624438457","0.2543391624438457","944","944","944","0.2218753866168238","0.2218753866168238","0.2218753866168238","","","","","",""
"28","979","979","979","0.37695329418339896","0.37695329418339896","0.37695329418339896","","","","","","","","","","","","","979","979","979","0.2458692865538272","0.2458692865538272","0.2458692865538272","979","979","979","0.21940488532888633","0.21940488532888633","0.21940488532888633","","","","","",""
"29","1014","1014","1014","0.36561077062521885","0.36561077062521885","0.36561077062521885","","","","","","","","","","","","","1014","1014","1014","0.23381800350647391","0.23381800350647391","0.23381800350647391","1014","1014","1014","0.2155727635578335","0.2155727635578335","0.2155727635578335","","","","","",""
"30","1049","1049","1049","0.3722363515415778","0.3722363515415778","0.3722363515415778","","","","","","","","","","","","","1049","1049","1049","0.21975747893593187","0.21975747893593187","0.21975747893593187","1049","1049","1049","0.21911543947553797","0.21911543947553797","0.21911543947553797","","","","","",""
