"Epoch","devoted-sound-306 - _step","devoted-sound-306 - _step__MIN","devoted-sound-306 - _step__MAX","devoted-sound-306 - NMI score","devoted-sound-306 - NMI score__MIN","devoted-sound-306 - NMI score__MAX","copper-waterfall-309 - _step","copper-waterfall-309 - _step__MIN","copper-waterfall-309 - _step__MAX","copper-waterfall-309 - NMI score","copper-waterfall-309 - NMI score__MIN","copper-waterfall-309 - NMI score__MAX","amber-rain-344 - _step","amber-rain-344 - _step__MIN","amber-rain-344 - _step__MAX","amber-rain-344 - NMI score","amber-rain-344 - NMI score__MIN","amber-rain-344 - NMI score__MAX","worthy-yogurt-341 - _step","worthy-yogurt-341 - _step__MIN","worthy-yogurt-341 - _step__MAX","worthy-yogurt-341 - NMI score","worthy-yogurt-341 - NMI score__MIN","worthy-yogurt-341 - NMI score__MAX","driven-waterfall-297 - _step","driven-waterfall-297 - _step__MIN","driven-waterfall-297 - _step__MAX","driven-waterfall-297 - NMI score","driven-waterfall-297 - NMI score__MIN","driven-waterfall-297 - NMI score__MAX","fancy-waterfall-343 - _step","fancy-waterfall-343 - _step__MIN","fancy-waterfall-343 - _step__MAX","fancy-waterfall-343 - NMI score","fancy-waterfall-343 - NMI score__MIN","fancy-waterfall-343 - NMI score__MAX"
"11","329","329","329","0.6194749182314434","0.6194749182314434","0.6194749182314434","","","","","","","329","329","329","0.646274681416008","0.646274681416008","0.646274681416008","329","329","329","0.6858052297647927","0.6858052297647927","0.6858052297647927","","","","","","","329","329","329","0.5813618960846352","0.5813618960846352","0.5813618960846352"
"12","359","359","359","0.6173950202142481","0.6173950202142481","0.6173950202142481","","","","","","","359","359","359","0.6483504948278799","0.6483504948278799","0.6483504948278799","","","","","","","","","","","","","359","359","359","0.5925488235824081","0.5925488235824081","0.5925488235824081"
"13","389","389","389","0.6432520155282568","0.6432520155282568","0.6432520155282568","","","","","","","389","389","389","0.6580906399558153","0.6580906399558153","0.6580906399558153","","","","","","","","","","","","","389","389","389","0.5752794408183777","0.5752794408183777","0.5752794408183777"
"14","419","419","419","0.6500431945312222","0.6500431945312222","0.6500431945312222","","","","","","","419","419","419","0.6477069115273235","0.6477069115273235","0.6477069115273235","","","","","","","","","","","","","419","419","419","0.559702419953904","0.559702419953904","0.559702419953904"
"15","449","449","449","0.6348913489408109","0.6348913489408109","0.6348913489408109","","","","","","","449","449","449","0.6528255683458408","0.6528255683458408","0.6528255683458408","","","","","","","","","","","","","449","449","449","0.5746245865136536","0.5746245865136536","0.5746245865136536"
"16","479","479","479","0.6400018008525321","0.6400018008525321","0.6400018008525321","","","","","","","479","479","479","0.6433837464066676","0.6433837464066676","0.6433837464066676","","","","","","","","","","","","","479","479","479","0.6062356028728176","0.6062356028728176","0.6062356028728176"
"17","509","509","509","0.6412793414064908","0.6412793414064908","0.6412793414064908","","","","","","","509","509","509","0.650459553183186","0.650459553183186","0.650459553183186","","","","","","","","","","","","","509","509","509","0.584848696555487","0.584848696555487","0.584848696555487"
"18","539","539","539","0.6446056804040203","0.6446056804040203","0.6446056804040203","","","","","","","539","539","539","0.6325819894443908","0.6325819894443908","0.6325819894443908","","","","","","","","","","","","","539","539","539","0.5613809125552034","0.5613809125552034","0.5613809125552034"
"19","569","569","569","0.6516238147856557","0.6516238147856557","0.6516238147856557","","","","","","","569","569","569","0.6479619952572412","0.6479619952572412","0.6479619952572412","","","","","","","","","","","","","569","569","569","0.46711840751916167","0.46711840751916167","0.46711840751916167"
"20","599","599","599","0.6416562916597408","0.6416562916597408","0.6416562916597408","","","","","","","599","599","599","0.6398824341102933","0.6398824341102933","0.6398824341102933","","","","","","","","","","","","","599","599","599","0.48315041193834396","0.48315041193834396","0.48315041193834396"
"21","629","629","629","0.6450209667061045","0.6450209667061045","0.6450209667061045","","","","","","","629","629","629","0.6440349591603275","0.6440349591603275","0.6440349591603275","","","","","","","","","","","","","629","629","629","0.4829017116702418","0.4829017116702418","0.4829017116702418"
"22","659","659","659","0.634838561478276","0.634838561478276","0.634838561478276","","","","","","","659","659","659","0.6453178259551546","0.6453178259551546","0.6453178259551546","","","","","","","","","","","","","659","659","659","0.45319601586548386","0.45319601586548386","0.45319601586548386"
"23","689","689","689","0.6438704171938051","0.6438704171938051","0.6438704171938051","","","","","","","689","689","689","0.6445058361600471","0.6445058361600471","0.6445058361600471","","","","","","","","","","","","","689","689","689","0.45396081545393063","0.45396081545393063","0.45396081545393063"
"24","719","719","719","0.6393411937528986","0.6393411937528986","0.6393411937528986","","","","","","","719","719","719","0.6282402817683879","0.6282402817683879","0.6282402817683879","","","","","","","","","","","","","719","719","719","0.46318134712887926","0.46318134712887926","0.46318134712887926"
"25","749","749","749","0.6309369126291487","0.6309369126291487","0.6309369126291487","","","","","","","749","749","749","0.6398067978342116","0.6398067978342116","0.6398067978342116","","","","","","","","","","","","","749","749","749","0.5048942129875195","0.5048942129875195","0.5048942129875195"
"26","779","779","779","0.6392688228527662","0.6392688228527662","0.6392688228527662","","","","","","","779","779","779","0.6375765037023537","0.6375765037023537","0.6375765037023537","","","","","","","","","","","","","779","779","779","0.4937011207851379","0.4937011207851379","0.4937011207851379"
"27","809","809","809","0.6528405237621707","0.6528405237621707","0.6528405237621707","","","","","","","809","809","809","0.6435139820156991","0.6435139820156991","0.6435139820156991","","","","","","","","","","","","","809","809","809","0.4640150571834801","0.4640150571834801","0.4640150571834801"
"28","839","839","839","0.6580293913395585","0.6580293913395585","0.6580293913395585","","","","","","","839","839","839","0.6413992363370192","0.6413992363370192","0.6413992363370192","","","","","","","","","","","","","839","839","839","0.47881220322479023","0.47881220322479023","0.47881220322479023"
"29","869","869","869","0.6593058800997476","0.6593058800997476","0.6593058800997476","","","","","","","869","869","869","0.6456916537950022","0.6456916537950022","0.6456916537950022","","","","","","","","","","","","","869","869","869","0.5414853337007683","0.5414853337007683","0.5414853337007683"
"30","899","899","899","0.657288119890053","0.657288119890053","0.657288119890053","","","","","","","899","899","899","0.6443008192383802","0.6443008192383802","0.6443008192383802","","","","","","","","","","","","","899","899","899","0.5247255191989426","0.5247255191989426","0.5247255191989426"
"31","929","929","929","0.6693399755866289","0.6693399755866289","0.6693399755866289","","","","","","","929","929","929","0.6386881102864354","0.6386881102864354","0.6386881102864354","","","","","","","","","","","","","929","929","929","0.525568536872314","0.525568536872314","0.525568536872314"
"32","959","959","959","0.6759152899168176","0.6759152899168176","0.6759152899168176","","","","","","","959","959","959","0.6367396089936396","0.6367396089936396","0.6367396089936396","","","","","","","","","","","","","959","959","959","0.5192331031873252","0.5192331031873252","0.5192331031873252"
"33","989","989","989","0.6958341408683829","0.6958341408683829","0.6958341408683829","","","","","","","989","989","989","0.6353428190022831","0.6353428190022831","0.6353428190022831","","","","","","","","","","","","","989","989","989","0.5605361524969024","0.5605361524969024","0.5605361524969024"
