"Epoch","fearless-sun-353 - _step","fearless-sun-353 - _step__MIN","fearless-sun-353 - _step__MAX","fearless-sun-353 - RI score","fearless-sun-353 - RI score__MIN","fearless-sun-353 - RI score__MAX","silvery-fog-321 - _step","silvery-fog-321 - _step__MIN","silvery-fog-321 - _step__MAX","silvery-fog-321 - RI score","silvery-fog-321 - RI score__MIN","silvery-fog-321 - RI score__MAX","honest-feather-317 - _step","honest-feather-317 - _step__MIN","honest-feather-317 - _step__MAX","honest-feather-317 - RI score","honest-feather-317 - RI score__MIN","honest-feather-317 - RI score__MAX","rare-tree-337 - _step","rare-tree-337 - _step__MIN","rare-tree-337 - _step__MAX","rare-tree-337 - RI score","rare-tree-337 - RI score__MIN","rare-tree-337 - RI score__MAX","pleasant-grass-346 - _step","pleasant-grass-346 - _step__MIN","pleasant-grass-346 - _step__MAX","pleasant-grass-346 - RI score","pleasant-grass-346 - RI score__MIN","pleasant-grass-346 - RI score__MAX","brisk-valley-351 - _step","brisk-valley-351 - _step__MIN","brisk-valley-351 - _step__MAX","brisk-valley-351 - RI score","brisk-valley-351 - RI score__MIN","brisk-valley-351 - RI score__MAX","brisk-moon-313 - _step","brisk-moon-313 - _step__MIN","brisk-moon-313 - _step__MAX","brisk-moon-313 - RI score","brisk-moon-313 - RI score__MIN","brisk-moon-313 - RI score__MAX"
"11","1539","1539","1539","0.6352071132944918","0.6352071132944918","0.6352071132944918","384","384","384","0.7975158386628125","0.7975158386628125","0.7975158386628125","","","","","","","384","384","384","0.8441842027748239","0.8441842027748239","0.8441842027748239","384","384","384","0.8106937059725113","0.8106937059725113","0.8106937059725113","384","384","384","0.8214082805377906","0.8214082805377906","0.8214082805377906","","","","","",""
"12","1679","1679","1679","0.6259946780095955","0.6259946780095955","0.6259946780095955","419","419","419","0.7944422643920899","0.7944422643920899","0.7944422643920899","","","","","","","","","","","","","419","419","419","0.8200446328275944","0.8200446328275944","0.8200446328275944","419","419","419","0.8224113708868154","0.8224113708868154","0.8224113708868154","","","","","",""
"13","1819","1819","1819","0.6595751394151802","0.6595751394151802","0.6595751394151802","454","454","454","0.7902285060983221","0.7902285060983221","0.7902285060983221","","","","","","","","","","","","","454","454","454","0.822371730545529","0.822371730545529","0.822371730545529","454","454","454","0.8233476617690376","0.8233476617690376","0.8233476617690376","","","","","",""
"14","1959","1959","1959","0.6283173823395789","0.6283173823395789","0.6283173823395789","489","489","489","0.8036070713576068","0.8036070713576068","0.8036070713576068","","","","","","","","","","","","","489","489","489","0.8193118356872906","0.8193118356872906","0.8193118356872906","489","489","489","0.8233812112770281","0.8233812112770281","0.8233812112770281","","","","","",""
"15","2099","2099","2099","0.6957318236054738","0.6957318236054738","0.6957318236054738","524","524","524","0.8049015232075726","0.8049015232075726","0.8049015232075726","","","","","","","","","","","","","524","524","524","0.8218618978437452","0.8218618978437452","0.8218618978437452","524","524","524","0.8239708239100154","0.8239708239100154","0.8239708239100154","","","","","",""
"16","2239","2239","2239","0.6665707110798249","0.6665707110798249","0.6665707110798249","559","559","559","0.7817736306858178","0.7817736306858178","0.7817736306858178","","","","","","","","","","","","","559","559","559","0.8152817010399349","0.8152817010399349","0.8152817010399349","559","559","559","0.8241810075835867","0.8241810075835867","0.8241810075835867","","","","","",""
"17","2379","2379","2379","0.6324540566447496","0.6324540566447496","0.6324540566447496","594","594","594","0.7977596716941003","0.7977596716941003","0.7977596716941003","","","","","","","","","","","","","594","594","594","0.8167094522743271","0.8167094522743271","0.8167094522743271","594","594","594","0.8251064148456573","0.8251064148456573","0.8251064148456573","","","","","",""
"18","2519","2519","2519","0.6317108751329249","0.6317108751329249","0.6317108751329249","629","629","629","0.7956569363108522","0.7956569363108522","0.7956569363108522","","","","","","","","","","","","","629","629","629","0.8172514365879352","0.8172514365879352","0.8172514365879352","629","629","629","0.8215722337881488","0.8215722337881488","0.8215722337881488","","","","","",""
"19","2659","2659","2659","0.6353502978018083","0.6353502978018083","0.6353502978018083","664","664","664","0.7915984443412664","0.7915984443412664","0.7915984443412664","","","","","","","","","","","","","664","664","664","0.8153792542223953","0.8153792542223953","0.8153792542223953","664","664","664","0.8252954303772821","0.8252954303772821","0.8252954303772821","","","","","",""
"20","2799","2799","2799","0.6405673461440532","0.6405673461440532","0.6405673461440532","699","699","699","0.8090909181681569","0.8090909181681569","0.8090909181681569","","","","","","","","","","","","","699","699","699","0.8156197922127199","0.8156197922127199","0.8156197922127199","699","699","699","0.822854603821249","0.822854603821249","0.822854603821249","","","","","",""
"21","2939","2939","2939","0.6912569582777919","0.6912569582777919","0.6912569582777919","734","734","734","0.7856368165910305","0.7856368165910305","0.7856368165910305","","","","","","","","","","","","","734","734","734","0.8120576532318861","0.8120576532318861","0.8120576532318861","734","734","734","0.8242271381570736","0.8242271381570736","0.8242271381570736","","","","","",""
"22","3079","3079","3079","0.6375689587171307","0.6375689587171307","0.6375689587171307","769","769","769","0.8026367317187633","0.8026367317187633","0.8026367317187633","","","","","","","","","","","","","769","769","769","0.8113543117608","0.8113543117608","0.8113543117608","769","769","769","0.8202153758593317","0.8202153758593317","0.8202153758593317","","","","","",""
"23","3219","3219","3219","0.6728285929675838","0.6728285929675838","0.6728285929675838","804","804","804","0.8072905277557276","0.8072905277557276","0.8072905277557276","","","","","","","","","","","","","804","804","804","0.8132910968991668","0.8132910968991668","0.8132910968991668","804","804","804","0.7773043569428011","0.7773043569428011","0.7773043569428011","","","","","",""
"24","3359","3359","3359","0.653070728553527","0.653070728553527","0.653070728553527","839","839","839","0.7973306174207817","0.7973306174207817","0.7973306174207817","","","","","","","","","","","","","839","839","839","0.8092569682627645","0.8092569682627645","0.8092569682627645","839","839","839","0.7572333637874998","0.7572333637874998","0.7572333637874998","","","","","",""
"25","3499","3499","3499","0.6186332569482929","0.6186332569482929","0.6186332569482929","874","874","874","0.8102160248825517","0.8102160248825517","0.8102160248825517","","","","","","","","","","","","","874","874","874","0.8098006500217173","0.8098006500217173","0.8098006500217173","874","874","874","0.789306493726941","0.789306493726941","0.789306493726941","","","","","",""
"26","3639","3639","3639","0.634200328505599","0.634200328505599","0.634200328505599","909","909","909","0.8103296538709243","0.8103296538709243","0.8103296538709243","","","","","","","","","","","","","909","909","909","0.8078621674380058","0.8078621674380058","0.8078621674380058","909","909","909","0.7824637919930505","0.7824637919930505","0.7824637919930505","","","","","",""
